Category,car1,car2,car3,car4,car5,car6,car7
luxury#modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
luxury#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
luxury#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
luxury#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
luxury#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
luxury#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
luxury#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
luxury#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
luxury#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
luxury#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
cozy#safety,Mazda_CX-7,audi s8,Mercedes_SLS_AMG,audi s3,Mercedes_CL-Class,RollsRoyce_Phantom,alfa romeo brera
cozy#luxury,Mazda_CX-7,audi s8,Mercedes_SLS_AMG,audi s3,Mercedes_CL-Class,RollsRoyce_Phantom,alfa romeo brera
cozy#economic,RollsRoyce_Phantom,audi s6,Lexus_LC,Mazda3,Mercedes_GL-Class,Mazda_CX-7,Mercedes_S-Class
cozy#performance,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
cozy#mileage,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
cozy#modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
cozy#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
cozy#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
cozy#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
cozy#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
cozy#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
cozy#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
cozy#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
cozy#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
cozy#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
economic#safety,RollsRoyce_Phantom,audi s6,Lexus_LC,Mazda3,Mercedes_GL-Class,Mazda_CX-7,Mercedes_S-Class
economic#luxury,RollsRoyce_Phantom,audi s6,Lexus_LC,Mazda3,Mercedes_GL-Class,Mazda_CX-7,Mercedes_S-Class
economic#cozy,RollsRoyce_Phantom,audi s6,Lexus_LC,Mazda3,Mercedes_GL-Class,Mazda_CX-7,Mercedes_S-Class
economic#performance,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
economic#mileage,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
economic#modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
economic#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
economic#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
economic#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
economic#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
economic#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
economic#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
economic#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
economic#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
economic#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
performance#safety,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
performance#luxury,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
performance#cozy,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
performance#economic,audi s6,jaguar xj,Volvo_S60,Mercedes_S-Class,RollsRoyce_Phantom,honda civic,Mercedes_CLS
performance#mileage,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
performance#modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
performance#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
performance#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
performance#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
performance#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
performance#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
performance#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
performance#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
performance#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
performance#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
mileage#safety,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
mileage#luxury,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
mileage#cozy,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
mileage#economic,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
mileage#performance,RollsRoyce_Phantom,audi s6,Mazda_CX-7,alfa romeo 159,Lexus_LC,Volvo_C70,aston martin v12 vantage
mileage#modern,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
mileage#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
mileage#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
mileage#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
mileage#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
mileage#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
mileage#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
mileage#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
mileage#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
mileage#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
modern#safety,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#luxury,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#cozy,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#economic,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#performance,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#mileage,audi s8,Mercedes_SLS_AMG,abarth 124,Nissan_Juke,audi s3,audi a8,Mazda2
modern#family,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
modern#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
modern#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
modern#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
modern#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
modern#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
modern#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
modern#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
modern#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
family#safety,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#luxury,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#cozy,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#economic,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#performance,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#mileage,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#modern,Mercedes_E-Class,Volkswagen_Golf,audi rs7,Nissan_370Z,bmw 3series,Mercedes_M-Class,Mercedes_V-Class
family#antique,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
family#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
family#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
family#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
family#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
family#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
family#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
family#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
antique#safety,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
antique#luxury,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
antique#cozy,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
antique#economic,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
antique#performance,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
antique#mileage,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
antique#modern,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
antique#family,Mercedes_M-Class,Mazda5,bentley flying spur,Mazda3,Mercedes_S-Class,RollsRoyce_Phantom,audi rs7
antique#sporty,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
antique#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
antique#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
antique#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
antique#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
antique#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
antique#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
sporty#safety,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
sporty#luxury,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
sporty#cozy,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
sporty#economic,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
sporty#performance,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
sporty#mileage,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
sporty#modern,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
sporty#family,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
sporty#antique,audi s8,alpina b4,Mercedes_GL-Class,Nissan_Qashqai+2,jaguar xj,aston martin vanquish,alfa romeo 159
sporty#compact,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
sporty#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
sporty#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
sporty#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
sporty#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
sporty#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
compact#safety,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
compact#luxury,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
compact#cozy,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
compact#economic,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
compact#performance,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
compact#mileage,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
compact#modern,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
compact#family,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
compact#antique,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
compact#sporty,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
compact#expensive,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
compact#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
compact#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
compact#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
compact#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
expensive#safety,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
expensive#luxury,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
expensive#cozy,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
expensive#economic,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
expensive#performance,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
expensive#mileage,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
expensive#modern,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
expensive#family,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
expensive#antique,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
expensive#sporty,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
expensive#compact,RollsRoyce_Phantom,Lexus_LC,audi s6,Mazda5,Mazda_CX-7,Mercedes_M-Class,Mazda3
expensive#high-tech,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
expensive#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
expensive#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
expensive#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
high-tech#safety,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
high-tech#luxury,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
high-tech#cozy,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
high-tech#economic,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
high-tech#performance,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
high-tech#mileage,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
high-tech#modern,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
high-tech#family,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
